Name,*,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"Forest Hills-71 Av (E,F,M,R)",,Q,"28,209","28,135","27,760","26,613","26,477","10,122","-16,356",-61.8%,40
Fresh Pond Rd (M),62,Q,"6,002","6,130","4,223","4,716","5,882","2,753","-3,128",-53.2%,234
"Grand Av-Newtown (M,R)",,Q,"18,955","19,373","18,754","18,489","18,531","7,715","-10,816",-58.4%,64
Howard Beach-JFK Airport (A),,Q,"3,059","3,011","3,292","3,376","3,483",956,"-2,527",-72.5%,400
Hunters Point Av (7),,Q,"6,803","7,292","7,283","7,205","7,039","2,596","-4,442",-63.1%,248
"Jamaica Center-Parsons-Archer (E,J,Z)",,Q,"42,115","41,603","39,326","36,368","34,419","14,183","-20,236",-58.8%,20
Jamaica-179 St (F),,Q,"23,417","23,121","22,421","21,452","21,353","9,202","-12,152",-56.9%,48
Jamaica-Van Wyck (E),,Q,"5,092","5,022","4,972","4,717","4,561","2,663","-1,899",-41.6%,239
Junction Blvd (7),,Q,"21,557","22,051","21,751","21,100","21,149","11,044","-10,105",-47.8%,32
"Kew Gardens-Union Turnpike (E,F)",,Q,"27,558","27,085","26,493","25,536","25,235","10,123","-15,112",-59.9%,39
Mets-Willets Point (7),,Q,"5,244","5,367","5,028","4,606","4,973",922,"-4,051",-81.5%,402
Middle Village-Metropolitan Av (M),63,Q,"4,489","4,530","3,064","3,225","3,726","1,713","-2,013",-54.0%,332
"Northern Blvd (M,R)",,Q,"7,428","7,413","7,107","6,904","6,682","2,956","-3,726",-55.8%,220
Ozone Park-Lefferts Blvd (A),,Q,"7,732","8,023","7,722","7,591","7,434","3,397","-4,037",-54.3%,186
Parsons Blvd (F),,Q,"6,640","6,644","6,593","6,462","6,654","3,498","-3,156",-47.4%,181
"Queens Plaza (E,M,R)",,Q,"10,475","10,652","11,369","12,747","14,298","4,709","-9,589",-67.1%,127
"Queensboro Plaza (N,W,7)",,Q,"11,786","12,936","13,502","14,517","14,533","5,435","-9,098",-62.6%,107
Rockaway Blvd (A),64,Q,"5,690","7,683","7,786","7,534","7,450","3,365","-4,085",-54.8%,191
"Rockaway Park-Beach 116 St (A,S)",,Q,747,727,683,696,660,319,-341,-51.7%,421
Seneca Av (M),65,Q,"2,726","2,832","1,576","1,818","3,210","1,460","-1,751",-54.5%,355
"Steinway St (M,R)",,Q,"14,895","14,836","14,867","15,590","14,640","5,564","-9,076",-62.0%,101
Sutphin Blvd (F),,Q,"4,851","4,652","4,496","4,291","4,328","2,277","-2,051",-47.4%,280
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,Q,"24,349","24,796","23,843","23,388","23,891","9,357","-14,533",-60.8%,46
Vernon Blvd-Jackson Av (7),,Q,"14,819","15,910","15,781","15,093","15,151","5,711","-9,439",-62.3%,97
"Woodhaven Blvd (J,Z)",,Q,"4,940","4,838","5,104","4,771","4,607","2,171","-2,437",-52.9%,291
"Woodhaven Blvd (M,R)",,Q,"22,220","22,483","21,879","20,704","20,340","8,389","-11,951",-58.8%,57
Woodside-61 St (7),,Q,"17,007","17,236","16,945","16,501","16,684","7,400","-9,284",-55.6%,69
,,,,,,,,,,,
Brooklyn,,,"1,227,391","1,226,715","1,213,998","1,188,606","1,190,461","484,848","-705,613",-59.3%,
Bronx,,,"488,379","490,877","481,267","451,214","448,301","209,435","-238,865",-53.3%,
Manhattan,,,"3,130,437","3,128,188","3,100,902","3,042,005","3,092,234","1,025,104","-2,067,130",-66.8%,
Queens,,,"804,251","809,903","784,312","755,778","762,880","321,193","-441,687",-57.9%,
Systemwide Adjustment,,,152,72,366,-17,,,0,,
Total,,,"5,650,610","5,655,755","5,580,845","5,437,586","5,493,875","2,040,580","-3,453,295",-62.9%,
